method,ratio,MME,MME_pct,POPE,POPE_pct,MMStar,MMStar_pct,avg_pct
VisionZip official,030,2298.9992,99.9326,84.9558,98.4484,59.1300,96.1933,98.1914
VisionZip official,020,2232.5456,97.0440,84.0121,97.3548,57.5300,93.5904,95.9964
VisionZip official,010,2112.5080,91.8263,80.5400,93.3312,53.4000,86.8716,90.6764
VisionZip official,005,1823.7307,79.2737,73.6390,85.3342,45.8000,74.5079,79.7053
SFT,030,2333.6826,101.4402,86.9322,100.7387,61.2000,99.5608,100.5799
SFT,020,2301.1137,100.0245,86.9723,100.7852,59.6700,97.0717,99.2938
SFT,010,2246.6932,97.6590,85.7458,99.3639,58.6700,95.4449,97.4893
SFT,005,2129.3116,92.5567,81.3184,94.2333,52.0700,84.7080,90.4993
EPIC,030,2301.7530,100.0523,86.6431,100.4037,61.9300,100.7483,100.4014
EPIC,020,2314.3724,100.6009,86.6040,100.3583,59.9300,97.4947,99.4846
EPIC,010,2221.5565,96.5664,85.5878,99.1807,58.6700,95.4449,97.0640
EPIC,005,2117.8023,92.0564,81.0354,93.9053,53.2000,86.5463,90.8360
EMA OPSD no GT,030,2280.1427,99.1130,84.9650,98.4591,61.7300,100.4230,99.3317
EMA OPSD no GT,020,2294.3392,99.7301,85.0081,98.5090,59.8700,97.3971,98.5454
EMA OPSD no GT,010,2258.4541,98.1702,83.8385,97.1536,57.8700,94.1435,96.4891
EMA OPSD no GT,005,2073.7803,90.1428,80.1922,92.9282,50.8700,82.7558,88.6090
Freeze SFT Teacher OPSD no GT,030,2312.8086,100.5329,87.0274,100.8489,61.7300,100.4230,100.6016
Freeze SFT Teacher OPSD no GT,020,2316.5589,100.6959,86.5010,100.2390,59.9300,97.4947,99.4765
Freeze SFT Teacher OPSD no GT,010,2270.4511,98.6917,85.6721,99.2784,58.0000,94.3550,97.4417
Freeze SFT Teacher OPSD no GT,005,2158.4448,93.8230,81.2883,94.1984,53.6000,87.1970,91.7395
