benchmark,ratio,score,perception,reasoning,acc,precision,recall,coarse,fine,instance,logical,math,science,source
MME,030,2298.9992,1686.4992,612.5000,,,,,,,,,,/root/autodl-tmp/opsd_eval/outputs/visionzip_aokvqa_reasoning/eval_vlmevalkit/eval_vz_flashattn2_mme_r030_r020_r010_r005_20260610_0700/opsd_qwen25vl_visionzip_flashattn2_r030/opsd_qwen25vl_visionzip_flashattn2_r030_MME_score.csv
MME,020,2232.5456,1640.4028,592.1429,,,,,,,,,,/root/autodl-tmp/opsd_eval/outputs/visionzip_aokvqa_reasoning/eval_vlmevalkit/eval_vz_flashattn2_mme_r030_r020_r010_r005_20260610_0700/opsd_qwen25vl_visionzip_flashattn2_r020/opsd_qwen25vl_visionzip_flashattn2_r020_MME_score.csv
MME,010,2112.5080,1600.3651,512.1429,,,,,,,,,,/root/autodl-tmp/opsd_eval/outputs/visionzip_aokvqa_reasoning/eval_vlmevalkit/eval_vz_flashattn2_mme_r030_r020_r010_r005_20260610_0700/opsd_qwen25vl_visionzip_flashattn2_r010/opsd_qwen25vl_visionzip_flashattn2_r010_MME_score.csv
MME,005,1823.7307,1454.4450,369.2857,,,,,,,,,,/root/autodl-tmp/opsd_eval/outputs/visionzip_aokvqa_reasoning/eval_vlmevalkit/eval_vz_flashattn2_mme_r030_r020_r010_r005_20260610_0700/opsd_qwen25vl_visionzip_flashattn2_r005/opsd_qwen25vl_visionzip_flashattn2_r005_MME_score.csv
POPE,030,84.9558,,,86.5889,96.7357,75.7333,,,,,,,/root/autodl-tmp/opsd_eval/outputs/visionzip_aokvqa_reasoning/eval_vlmevalkit/eval_vz_flashattn2_pope_r030_r020_12w_20260611_090849/opsd_qwen25vl_visionzip_flashattn2_r030/opsd_qwen25vl_visionzip_flashattn2_r030_POPE_score.csv
POPE,020,84.0121,,,85.8667,96.7014,74.2667,,,,,,,/root/autodl-tmp/opsd_eval/outputs/visionzip_aokvqa_reasoning/eval_vlmevalkit/eval_vz_flashattn2_pope_r030_r020_12w_20260611_090849/opsd_qwen25vl_visionzip_flashattn2_r020/opsd_qwen25vl_visionzip_flashattn2_r020_POPE_score.csv
POPE,010,80.5400,,,83.3444,96.8467,68.9333,,,,,,,/root/autodl-tmp/opsd_eval/outputs/visionzip_aokvqa_reasoning/eval_vlmevalkit/eval_vz_ema_epic_r010_20260610_032349_mme_pope_mmstar/opsd_qwen25vl_visionzip_flashattn2_r010/opsd_qwen25vl_visionzip_flashattn2_r010_POPE_score.csv
POPE,005,73.6390,,,78.8556,97.7565,59.0667,,,,,,,/root/autodl-tmp/opsd_eval/outputs/visionzip_aokvqa_reasoning/eval_vlmevalkit/eval_vz_ema_epic_r005_split_20260610_052048_mme_pope_12w/opsd_qwen25vl_visionzip_flashattn2_r005/opsd_qwen25vl_visionzip_flashattn2_r005_POPE_score.csv
MMStar,030,59.1333,,,,,,69.2000,56.8000,66.0000,64.8000,58.0000,40.0000,/root/autodl-tmp/opsd_eval/outputs/visionzip_aokvqa_reasoning/eval_vlmevalkit/mmstar_aligned_vz_r030_r020_r010_r005_4w_20260611_052236/opsd_qwen25vl_visionzip_mmstar_r030/opsd_qwen25vl_visionzip_mmstar_r030_MMStar_acc.csv
MMStar,020,57.5333,,,,,,72.4000,53.6000,66.0000,58.8000,57.2000,37.2000,/root/autodl-tmp/opsd_eval/outputs/visionzip_aokvqa_reasoning/eval_vlmevalkit/mmstar_aligned_vz_r030_r020_r010_r005_4w_20260611_052236/opsd_qwen25vl_visionzip_mmstar_r020/opsd_qwen25vl_visionzip_mmstar_r020_MMStar_acc.csv
MMStar,010,53.4000,,,,,,70.0000,42.0000,66.0000,56.0000,51.6000,34.8000,/root/autodl-tmp/opsd_eval/outputs/visionzip_aokvqa_reasoning/eval_vlmevalkit/mmstar_aligned_vz_r030_r020_r010_r005_4w_20260611_052236/opsd_qwen25vl_visionzip_mmstar_r010/opsd_qwen25vl_visionzip_mmstar_r010_MMStar_acc.csv
MMStar,005,45.8000,,,,,,68.4000,38.0000,60.4000,42.8000,38.8000,26.4000,/root/autodl-tmp/opsd_eval/outputs/visionzip_aokvqa_reasoning/eval_vlmevalkit/mmstar_aligned_vz_r030_r020_r010_r005_4w_20260611_052236/opsd_qwen25vl_visionzip_mmstar_r005/opsd_qwen25vl_visionzip_mmstar_r005_MMStar_acc.csv
